# time (ms), Fluo
0.000000000000000000e+00,0.000000000000000000e+00
3.013000000000010914e+01,-4.750000000000004219e-03
4.546000000000003638e+01,1.400000000000012346e-04
8.755999999999994543e+01,1.156999999999999695e-02
8.804999999999995453e+01,2.446999999999999176e-02
1.448800000000001091e+02,2.465999999999998749e-02
1.900899999999999181e+02,1.835000000000000520e-02
2.427599999999999909e+02,8.839999999999986757e-03
2.690999999999999091e+02,4.089999999999982538e-03
3.259800000000000182e+02,5.890000000000006342e-03
3.601400000000001000e+02,7.610000000000005649e-03
3.861700000000000728e+02,-5.209999999999992415e-03
4.093900000000001000e+02,7.769999999999999130e-03
4.396300000000001091e+02,6.250000000000005551e-03
4.699400000000000546e+02,6.349999999999994538e-03
5.190000000000000000e+02,1.670000000000004814e-03
5.455800000000000409e+02,3.369999999999984119e-03
5.947100000000000364e+02,2.999999999999947153e-04
