# time (ms), Fluo
0.000000000000000000e+00,0.000000000000000000e+00
1.250000000000000000e+01,-4.259000000000000341e+00
1.690000000000009095e+01,-2.221999999999999975e+00
3.059999999999990905e+01,4.073999999999999844e+00
3.609999999999990905e+01,1.574000000000000066e+00
5.780000000000018190e+01,6.573999999999999844e+00
8.740000000000009095e+01,5.185000000000000497e+00
1.043000000000001819e+02,2.963000000000000078e+00
1.210000000000000000e+02,6.480000000000000204e-01
1.498000000000001819e+02,-1.110999999999999988e+00
2.325000000000000000e+02,-3.056000000000000050e+00
3.176999999999998181e+02,-3.889000000000000234e+00
4.248000000000001819e+02,-4.629999999999999893e+00
6.099000000000000909e+02,-4.443999999999999950e+00
6.630999999999999091e+02,-5.000000000000000000e+00
7.824000000000000909e+02,-5.092999999999999972e+00
