x,Curve1
-22.932,1.01718
-19.096,1.02761
-16.916,1.02218
-14.742,1.01142
-11.463,1.01125
-7.627,1.02168
-5.458,1.00561
-2.738,0.99483
-0.529,1.01599
0.541,0.99465
0.599,1.04784
1.18,1.07972
3.401,1.11152
3.976,1.13809
4.028,1.18596
5.139,1.20185
6.795,1.21772
9.568,1.25481
11.231,1.276
12.881,1.28655
16.108,1.2385
17.7,1.19587
18.758,1.1639
19.822,1.13724
20.357,1.12658
22.519,1.10519
24.67,1.07316
27.356,1.03046
29.524,1.01439
31.152,1.00366
35.505,0.98747
37.139,0.98207
39.871,0.98192
43.678,0.96576
49.131,0.95483
51.317,0.95472
56.775,0.94911
59.495,0.93832
61.681,0.93821
70.97,0.93771
76.981,0.93739
84.642,0.94763
88.467,0.94742
91.217,0.96323
94.495,0.96306
101.569,0.93609
108.69,0.95167
110.347,0.96753
112.55,0.98337
115.288,0.98855
116.921,0.98314
123.473,0.97747
124.56,0.9721
