x,Curve1
-35.048,1.07616
-26.502,1.06479
-20.109,1.03792
-11.567,1.0213
-0.883,1.0097
0.248,1.0777
1.303,1.06187
2.442,1.14036
6.757,1.18182
8.966,1.2602
10.078,1.30724
12.231,1.32274
19.675,1.27479
24.947,1.1904
30.275,1.16888
33.456,1.13711
43.034,1.0837
48.367,1.06742
52.616,1.03553
62.185,0.97165
65.375,0.95035
70.708,0.93407
79.258,0.92794
89.976,0.95302
102.809,0.95167
106.017,0.95133
109.216,0.94052
112.392,0.9035
124.127,0.87083
127.359,0.8967
132.683,0.86994
146.594,0.87896
156.21,0.86747
159.399,0.84618
163.728,0.90336
167.917,0.80336
167.955,0.84528
175.422,0.82354
178.644,0.83892
