x,Curve1
-0.93,0.90204
0.415,0.93582
0.845,0.90529
4.858,0.95465
11.068,0.95837
17.273,0.94986
26.599,0.98144
32.378,1.01264
39.483,1.03481
41.705,1.04422
46.131,1.02634
51.871,0.96885
55.321,0.74904
59.611,0.42228
64.398,0.2179
67.474,0.15401
70.96,0.01371
74.534,0.07526
77.635,0.06641
80.731,0.0484
86.038,0.01533
90.936,0.06172
93.189,0.14147
98.095,0.20316
102.961,0.17616
107.39,0.1644
110.945,0.18007
115.389,0.20195
119.849,0.26053
123.868,0.32213
127.889,0.38984
131.468,0.46055
136.371,0.51613
140.392,0.58383
143.963,0.6362
146.645,0.68542
150.653,0.72255
155.527,0.71389
158.642,0.73869
162.645,0.76359
165.308,0.76999
167.969,0.77027
171.524,0.78594
175.072,0.78632
177.738,0.79884
180.842,0.79917
184.39,0.79955
189.268,0.80007
194.156,0.822
198.139,0.80408
202.131,0.80451
207.002,0.78974
211.044,0.90332
214.579,0.87618
217.661,0.82452
222.986,0.83426
226.955,0.7827
229.164,0.76459
232.714,0.77109
236.707,0.77457
240.256,0.77801
245.174,0.86722
248.723,0.87066
253.146,0.84361
258.455,0.81665
259.787,0.81985
264.661,0.8112
268.206,0.80547
270.867,0.80575
276.623,0.78496
281.065,0.80073
