x,Curve1
3.433,1.01098
9.442,1.00124
12.876,1.00696
15.451,1.0073
20.601,1.0185
24.893,1.00854
32.618,1.01482
37.768,1.02076
40.343,0.99478
42.918,1.08986
44.635,1.13219
47.21,1.15884
48.927,1.22223
51.502,1.23836
55.794,1.2705
56.652,1.27588
64.378,1.29794
66.094,1.23501
66.953,1.20881
67.811,1.18787
69.528,1.15652
73.82,1.1255
78.97,1.07355
83.262,1.0478
90.129,1.02239
94.421,1.00716
100.429,0.99742
108.155,0.99318
111.588,0.99363
115.021,0.98882
121.888,0.98972
133.906,0.97551
136.481,0.97585
145.923,0.95604
153.648,0.95706
165.665,0.96917
169.957,0.97499
175.966,0.98631
189.7,0.97759
193.133,0.97804
199.142,0.98936
207.725,0.99049
214.592,1.00718
218.884,1.01827
223.176,1.01884
232.618,1.02008
240.343,1.0211
