x,Curve1
-171.44,2.591
-165.25,2.439
-158.32,0.61
-150.59,-0.305
-146.7,0.61
-135.86,0.762
-121.2,-1.982
-116.54,-1.372
-111.09,1.067
-109.5,3.659
-104.81,6.25
-100.19,5.183
-97.13,2.591
-90.21,-0.152
-83.25,-1.067
-73.98,-2.287
-67.02,-2.896
-61.6,-2.744
-56.93,-0.915
-46.85,0.457
-46.8,3.201
-46.77,5.488
-42.12,5.945
-35.14,6.555
-20.42,7.317
-14.99,8.079
-3.4,6.707
-0.32,5.64
3.51,3.049
7.42,5.64
10.58,9.299
10.61,11.585
15.29,14.024
22.28,15.549
30.83,17.378
33.21,21.341
36.35,23.933
41.06,28.049
43.42,30.64
46.56,33.689
52,34.604
57.38,32.165
61.22,30.64
63.51,28.201
68.86,23.933
72.68,20.732
78.82,17.378
80.34,15.396
84.97,14.634
89.62,14.482
95.83,15.854
101.29,18.75
105.96,19.97
117.54,18.14
119.06,16.159
123.66,13.72
130.62,12.957
139.14,13.567
142.21,11.738
148.36,9.146
151.4,5.488
152.1,0.457
152.15,3.506
154.37,-3.049
159.75,-5.64
162.78,-9.909
168.96,-10.366
187.56,-8.994
193,-7.774
200.76,-6.402
209.31,-4.421
212.45,-1.372
217.91,1.22
221.83,4.116
224.2,7.47
231.2,9.451
238.15,8.079
241.97,5.183
244.26,3.049
255.92,6.098
262.14,7.927
274.55,9.146
281.51,8.994
286.91,7.927
290,7.317
298.54,8.841
306.31,11.128
314.82,10.213
328.76,10.823
337.23,7.927
341.05,4.573
345.62,-0.152
345.65,1.524
349.43,-3.811
350.18,-5.64
350.92,-7.774
355.55,-8.994
362.49,-10.366
367.12,-11.128
371.11,-3.811
372.62,-6.402
374.9,-9.146
378.11,-1.677
382,-0.152
385.85,-1.372
388.14,-3.659
388.89,-5.03
398.17,-6.098
402.05,-5.488
409.81,-3.963
418.35,-2.287
426.05,-5.03
426.07,-3.659
