x,Curve1
-171.87,-2.519
-163.68,-1.191
-154.77,-1.492
-146.63,-3.271
-134.78,-4.904
-128.09,-4.759
-124.34,-2.542
-120.61,-1.213
-110.19,0.705
-101.98,3.068
-95.29,4.1
-76.71,4.683
-61.08,7.338
-46.25,5.999
-38.86,3.481
-30.74,0.074
-24.1,-3.035
-19.71,-7.475
-13.79,-8.81
-4.85,-6.595
3.41,-0.238
4.96,3.903
9.47,7.599
13.22,10.408
19.21,13.511
19.35,22.683
20.78,19.28
23.11,25.935
34.95,22.971
43.79,18.677
45.25,17.049
51.98,19.856
57.23,23.404
60.25,26.805
66.9,24.434
73.53,21.029
79.42,17.771
86.05,14.366
96.4,10.81
101.62,12.731
106.13,15.835
110.54,13.022
114.21,10.358
117.88,7.545
120.09,6.361
127.59,10.943
127.65,15.085
134.4,19.815
142.64,24.101
150.03,21.731
154.43,18.178
158.1,15.514
164.76,13.735
169.22,14.029
178.15,15.356
186.35,17.275
193.07,20.23
201.19,16.528
205.6,14.011
211.51,11.641
215.19,9.273
224.1,9.564
238.81,0.089
249.17,-2.283
260.3,-3.028
277.15,-18.569
298.73,-15.621
310,-6.603
324.09,-8.089
340.42,-8.097
353.81,-6.476
364.97,-5.594
379.1,-4.27
395.39,-6.793
402.1,-5.317
411.05,-2.658
